smiles,node_id,num_expansions,rollout_num,score,Q_value,num_reactions,reaction_1_id,building_block_1_1_id,building_block_1_1_smiles,building_block_1_2_id,building_block_1_2_smiles
CC(C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1)N(Cc1cccc(C(F)(F)F)c1)Cc1cccc(C(F)(F)F)c1,114687,0,37,0.4899681359529495,0.0,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,11449,CC(Cl)C(=O)Nc1ccc(Cl)c(C(F)(F)F)c1
CC(Br)c1cc(C(F)(F)F)cc(C(F)(F)N(CCC2CC2)CC2CC2)c1,114674,0,30,0.4899576961994171,0.0,1,2230,23691524,C(CC1CC1)NCC1CC1,2809675,CC(Br)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
O=C(CN(Cc1cccc(C(F)(F)F)c1)Cc1cccc(C(F)(F)F)c1)Nc1cc(C(F)(F)F)ccc1Oc1ccc(Br)cc1,114706,0,48,0.489941281080246,0.0,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,8059,O=C(CCl)Nc1cc(C(F)(F)F)ccc1Oc1ccc(Br)cc1
CC(=O)Oc1ccccc1SCCCCCCN(Cc1cccc(C(F)(F)F)c1)Cc1cccc(C(F)(F)F)c1,114757,1,88,0.48971700072288515,0.48971700072288515,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,26537088,CC(=O)Oc1ccccc1SCCCCCCI
CCCCCCc1ccc(C(=O)C(C)OC(=O)c2cc(C3CC3)[nH]c2C2CC2)cc1,114784,1,112,0.4896593362092972,0.4896593362092972,1,1458,24223646,O=C(O)c1cc(C2CC2)[nH]c1C1CC1,10028,CCCCCCc1ccc(C(=O)C(C)Cl)cc1
CCCc1onc(-c2c(Cl)cccc2Cl)c1C(=O)OC(C)C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,114834,0,137,0.4895887315273285,0.0,1,1458,5150486,CCCc1onc(-c2c(Cl)cccc2Cl)c1C(=O)O,62328,CC(Br)C(=O)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1
CC(C)c1cc(C(C)C)c(S(=O)(=O)NC2C3(CC3)C23CC3)c(C(C)C)c1,114849,1,148,0.48951627910137174,0.48951627910137174,1,40,24532760,NC1C2(CC2)C12CC2,85386,CC(C)c1cc(C(C)C)c(S(=O)(=O)Cl)c(C(C)C)c1
CC(Cl)C(=O)Nc1ccc(Cl)cc1C(F)(F)OC(=O)C12CC(CCC(F)(F)F)(C1)C2,114764,0,90,0.4893409311771393,0.0,1,1458,27049149,O=C(O)C12CC(CCC(F)(F)F)(C1)C2,38383,CC(Cl)C(=O)Nc1ccc(Cl)cc1C(F)(F)F
CC(C1CC1)N(C(=O)CN(Cc1cccc(C(F)(F)F)c1)Cc1cccc(C(F)(F)F)c1)C1CC1,114772,1,96,0.48927482068538664,0.48927482068538664,1,2230,37368,FC(F)(F)c1cccc(CNCc2cccc(C(F)(F)F)c2)c1,1881545,CC(C1CC1)N(C(=O)CCl)C1CC1
Cc1cc(C(=O)CN(CCC2CC2)CC2CC2)c(C)n1-c1ccc(Cl)c(C(F)(F)F)c1,114845,0,143,0.48920040428638456,0.0,1,2230,23691524,C(CC1CC1)NCC1CC1,15356,Cc1cc(C(=O)CCl)c(C)n1-c1ccc(Cl)c(C(F)(F)F)c1
CC(C)c1onc(-c2c(Cl)cccc2Cl)c1C(=O)OC(F)(F)c1cc(C(C)Br)cc(C(F)(F)F)c1,114828,1,135,0.48918462693691256,0.48918462693691256,1,1458,6755914,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1C(=O)O,2809675,CC(Br)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
CCCc1ccc(C23CC(C(=O)OCCCC4(C)CC4)(C2)C3)cc1,114903,1,186,0.48908179998397827,0.48908179998397827,1,1458,26630760,CCCc1ccc(C23CC(C(=O)O)(C2)C3)cc1,24665895,CC1(CCCBr)CC1
